,#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Critical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Population,lat,long,PopulationAffected,Cases Recovered,Cases Active,Mortality Rate
0,1.0,USA,34250344,"+7,014",613329.0,+287,28242916.0,"+22,053",5394099.0,5095.0,102910.0,1843.0,490927350.0,1475063.0,North America,10.0,543.0,1.0,21.0,0.9,16207.0,331003000.0,37.09024,-95.712891,10.34744216819787,82.46024039933731,15.749035980485335,1.7907236201773622
1,2.0,India,29182072,"+93,896",359695.0,"+6,138",27638902.0,"+142,704",1183475.0,8944.0,20954.0,258.0,370193563.0,265814.0,Asia,48.0,3872.0,4.0,67.0,4.0,850.0,1380004000.0,20.593684,78.96288,2.114636769168785,94.71192449939812,4.055486532964485,1.2325889676373905
2,3.0,Brazil,17038260,0,477307.0,0,15494071.0,0,1066882.0,8318.0,79628.0,2231.0,50028915.0,233811.0,South America,13.0,448.0,4.0,0,0,4986.0,212559000.0,-14.235004,-51.92528,8.015779148377627,90.93693252714773,6.261683998248648,2.801383474603627
3,4.0,France,5725492,"+5,557",110202.0,+65,5458414.0,"+15,342",156876.0,2326.0,87534.0,1685.0,87626503.0,1339676.0,Europe,11.0,594.0,1.0,85.0,1.0,2398.0,65274000.0,46.227638,2.213749,8.771474093819897,95.33528297655468,2.7399566709725556,1.9247603524727657
4,5.0,Turkey,5306690,"+6,454",48428.0,+87,5179833.0,"+6,647",78429.0,1018.0,62295.0,568.0,56123336.0,658828.0,Asia,16.0,1759.0,2.0,76.0,1.0,921.0,84339000.0,38.963745,35.243322,6.292094997569333,97.60948915425624,1.4779269186630462,0.9125839270807226
5,6.0,Russia,5156250,"+10,407",124895.0,+399,4761899.0,"+9,814",269456.0,2300.0,35318.0,855.0,141100000.0,966484.0,Europe,28.0,1169.0,1.0,71.0,3.0,1846.0,145934000.0,61.52401,105.31875600000001,3.5332753162388477,92.35198060606061,5.225813333333333,2.4222060606060603
6,7.0,UK,4535754,"+7,540",127860.0,+6,4281627.0,"+2,234",126267.0,154.0,66488.0,1874.0,191044609.0,2800437.0,Europe,15.0,534.0,0.0,111.0,0.09,1851.0,67886000.0,55.378051,-3.435973,6.681427687593907,94.39724905715786,2.7838149952576794,2.818935947584459
7,8.0,Italy,4237790,"+2,199",126767.0,+77,3936088.0,"+8,912",174935.0,661.0,70187.0,2100.0,67851729.0,1123772.0,Europe,14.0,476.0,1.0,36.0,1.0,2897.0,60462000.0,41.87194,12.56738,7.0090139261023445,92.88067601273305,4.127977082394361,2.9913469048725867
8,9.0,Argentina,4008771,0,82667.0,0,3585811.0,0,340293.0,7794.0,87944.0,1814.0,14752240.0,323633.0,South America,11.0,551.0,3.0,0,0,7465.0,45196000.0,-38.416097,-63.616671999999994,8.869747322771927,89.44913540833338,8.488711378125616,2.062153213541008
9,10.0,Germany,3715485,"+2,890",90175.0,+91,3557600.0,"+7,700",67710.0,1796.0,44214.0,1073.0,61380686.0,730421.0,Europe,23.0,932.0,1.0,34.0,1.0,806.0,83784000.0,51.165690999999995,10.451526,4.43459968490404,95.75062205876218,1.8223731222168842,2.4270048190209352
